PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
275069238,22036544,24,2022-03-12T09:08:00,"5900 Block Kirkwood St Pittsburgh, PA 15206",N,East Liberty,5,DISORDERLY CONDUCT,5503 Disorderly Conduct.,1115,9,2,-79.9264829082048,40.4626661555855
275078108,22036636,0,2022-03-12T12:35:00,"Fernleaf St & Arlington Ave Pittsburgh, PA 15210",N,Arlington,3,99,9999 9999 - (Misc. Incident): Found Child,1603,3,3,-79.975979557371,40.4171706037331
275082774,22036687,6,2022-03-12T14:15:00,"700 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",201,8,3,-79.9055271749205,40.4502961014695
275084727,22036665,0,2022-03-12T13:46:00,"900 Block Woodlow St E Pittsburgh, PA 15205",N,Crafton Heights,6,99,9999 9999 - (Misc. Incident): ,2814,2,5,-80.0523506914023,40.4458191424858
276865105,22047807,14,2022-03-31T14:21:00,"1600 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill North,4,INJURY/TAMP/FIRE APP-HYD-ETC,"3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s) / 601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",1403,5,3,-79.9170496423178,40.4404482907731
276877300,22047902,27,2022-03-31T16:56:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.976432641371,40.4303408118696
276929676,22048324,27,2022-04-01T08:30:00,"Penn Ave & 33rd St Pittsburgh, PA 15201",Y,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.968778348492,40.4615916837175
276933856,22048356,0,2022-04-01T10:24:00,"Banksville Rd & Wenzell Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): ,1920,2,5,-80.0342271321973,40.4070070136913
276939257,22035546,0,2022-03-10T12:33:00,"2900 Block Banksville Ave Pittsburgh, PA 15216",N,Banksville,6,99,633.05 Rabies Vaccination / 633.02(a) Dog License Required; 3 Months or Older,2023,2,5,-80.041310259879,40.4039860150937
276946631,22048445,0,2022-04-01T13:50:00,"5100 Block 5th Ave Pittsburgh, PA 15232",N,Squirrel Hill North,4,99,9999 9999 - (Misc. Incident): ,1401,8,3,-79.9389422879136,40.4474324576772
276947323,22048412,0,2022-04-01T12:45:00,"Avery St & Middle St Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): ,2304,1,1,-79.9990238943123,40.4531635762635
276952256,22048504,6,2022-03-31T23:00:00,"3500 Block Shadeland Ave Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle,2708,1,1,-80.034172514775,40.4793934957673
276954816,22048481,11,2022-04-01T10:56:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Shadyside,4,THEFT BY DECEPTION,3922 Theft by Deception. / 4119 Trademark Counterfeiting / 4105(a)(1) Bad Checks,709,,,,
276967345,22048003,10,2022-03-31T20:05:00,"400 Block Daytona St Pittsburgh, PA 15210",Y,Knoxville,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",3001,3,5,-79.9948986369399,40.4108777443626
276969774,22048546,99,2022-04-01T16:23:00,"7200 Block Kedron St Pittsburgh, PA 15208",Y,Homewood North,5,DOG BITE,9492 Dog Bite,1302,9,2,-79.8949399197312,40.4608129131613
275609198,22040142,0,2022-03-18T14:45:00,"600 Block Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): ,2304,1,1,-79.9986796721415,40.4522188227154
275612623,22040131,99,2022-03-18T14:10:00,"1300 Block Stokes Way Pittsburgh, PA 15212",N,Brighton Heights,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2703,1,1,-80.0335267696358,40.4772432609552
275613422,22040229,0,2022-03-15T17:00:00,"5400 Block Claybourne St Pittsburgh, PA 15232",N,Shadyside,4,99,"1333 Lost, Stolen, Damaged or Illegible Registration Plate.",709,,,,
277034619,22048885,6,2022-04-02T06:11:00,"2000 Block Watson St Pittsburgh, PA 15219",Y,Bluff,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 3304 Criminal Mischief. / 13(a)(16) Possession of Controlled Substance / 5506 Loitering and Prowling at Night / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,103,6,3,-79.977665873244,40.4377808644043
277034047,22048890,27,2022-04-01T18:50:00,"Semple St & Fresco Way Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,405,3,3,-79.9581021555731,40.4396288599712
277064069,22048746,99,2022-04-02T14:24:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,2108,6,1,-80.0219684615574,40.4512177173984
-3477294706,22049109,26,2022-04-02T15:22:00,"300 Block Woodruff St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT BY EXTORTION,2709(a)(4) Harassment Communicates Prohibited Acts / 3923 Theft by Extortion.,1914,2,5,-80.0107576498142,40.4309040497634
277081996,22049319,99,2022-04-02T22:40:00,"1000 Block Brushton Ave Pittsburgh, PA 15221",N,Homewood North,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1301,9,2,-79.887729584877,40.4565467004881
277085393,22049313,21,2022-04-02T21:50:00,"Saranac Ave & Neeld Ave Pittsburgh, PA 15216",Y,Beechview,6,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE / 3802(a)(1) DUI - General Impairment / 3323 Stop Signs and Yield Signs.,1920,4,5,-80.0271120038151,40.4027347372878
277097829,22049498,99,2022-04-03T04:44:00,"10 Block Pride St Pittsburgh, PA 15219",Y,Bluff,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,103,,,,
277098412,22049500,6,2022-04-03T04:00:00,"Mc Clure Ave & Eckert St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,1,1,-80.0374394425973,40.471782736223
275546219,22039666,10,2022-03-17T19:19:00,"5000 Block Columbo St Pittsburgh, PA 15224",Y,Garfield,5,SIMPLE ASSAULT,2701 Simple Assault. / 2706 Terroristic Threats. / 4304(a)(1) Endangering Welfare of Children.,1016,,,,
275546247,22039694,18,2022-03-17T19:48:00,"20 Block Bailey Ave Pittsburgh, PA 15211",Y,Mount Washington,3,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 780-113(a39) Prohibited Acts - Possession Of Substances For Methamphetamine Manufacture,1807,3,5,-80.0049238597881,40.4267009632189
275549704,22039127,18,2022-03-17T00:37:00,"Foreland St & Middle St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 4730 Violations of Use of Certificate of Inspection. / 1543 Driving While Operating Privilege is Suspended or Revoked.,2304,1,1,-79.9993927322196,40.4545767003079
275552691,22039845,26,2022-03-18T00:48:00,"900 Block Woodlow St Pittsburgh, PA 15205",N,Crafton Heights,6,CRIMINAL TRESPASS,3503 Criminal Trespass,2814,2,5,-80.0523506914023,40.4458191424858
275553026,22039859,18,2022-03-18T01:20:00,"Beechwood Blvd & Forward Arc Pittsburgh, PA 15217",Y,Squirrel Hill South,4,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 3802(d)(2) DUI - Drug - Impaired Ability / 1501(A) Valid Driver's License Required,1414,5,3,-79.9280983900218,40.4275557877987
276918843,22048336,0,2022-03-18T14:45:00,"1500 Block Yost Braddock Hills, PA 15221",N,Outside City,OSC,99,9999 9999 - (Misc. Incident): ,5599,,,-79.8541725281084,40.4151369971137
276919852,22048280,99,2022-04-01T09:00:00,"2200 Block Monroeville  Rd Monroeville, PA 15146",N,Outside State,OSC,DRUG INVESTIGATION,9124 Drug Investigation,7799,,,,
276953437,22048484,0,2022-03-31T14:30:00,"Penn Ave & 45th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9999 9999 - (Misc. Incident): Non Reportable Accident / 1501 Drivers Required to be Licensed. / 1786 Required Financial Responsibility. / 3714 Careless Driving,902,7,2,-79.952226988187,40.4661421571392
276953656,22048464,0,2022-04-01T15:18:00,"2300 Block Fox Hollow Dr Pittsburgh, PA 15237",N,Outside City,OSC,99,9994 PFA Service,5599,,,-80.011217502551,40.5477543695158
276966365,22048275,4,2022-04-01T06:47:00,"200 Block Dinwiddie St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 4304(a)(1) Endangering Welfare of Children. / 901 Criminal Attempt,305,6,3,-79.9807130501689,40.4390819552508
276969599,22048586,0,2022-04-01T18:17:00,"300 Block N Negley Ave Pittsburgh, PA 15206",Y,Garfield,5,99,9994 PFA Service,1114,9,2,-79.9291230901834,40.4656630058358
276972473,22048578,27,2022-04-01T14:15:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1115,8,2,-79.92259331497,40.4601393368172
276979181,22048654,10,2022-04-01T19:37:00,"100 Block Hemlock St Pittsburgh, PA 15212",N,Central North Side,1,HARRASSMENT,2709(a) Harassment.,2206,,,,
276980558,22048638,99,2022-04-01T19:01:00,"1200 Block Jancey St Pittsburgh, PA 15206",N,Morningside,5,AIDED CASE,9497 Aided Case,1014,7,2,-79.929506718835,40.4794353668141
-3529060575,22048708,27,2022-04-01T21:15:00,"5800 Block Ellsworth Ave Pittsburgh, PA 15232",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,705,8,2,-79.9305988054314,40.4560876403463
276985828,22048582,29,2022-04-01T17:26:00,"500 Block Walde St Pittsburgh, PA 15210",N,Mount Oliver,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,1607,3,3,-79.9794855569149,40.4103632175867
275114005,22037109,0,2022-03-13T10:33:00,"7900 Block Madiera St Pittsburgh, PA 15221",N,Homewood South,5,99,9093 Indirect Criminal Contempt,1304,9,2,-79.8877016321406,40.448444729416
275118798,22036511,23,2022-03-12T21:30:00,"S 17th St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1702,3,3,-79.9820508989135,40.4288428977869
275179821,22035061,11,2022-03-09T08:00:00,"400 Block 1st Ave Pittsburgh, PA 15219",N,Central Business District,2,CREDIT CARDS,4106 Access Device Fraud,201,6,6,-80.0005222013999,40.4372231889509
275186283,22037551,4,2022-03-14T11:05:00,"2100 Block Shady Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,SIMPLE ASSAULT,2707.1 Discharge of a Firearm into Occupied Structure / 2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 8106 Shots Fired,1408,5,3,-79.9187521639177,40.4343233746888
275223741,22037857,0,2022-03-14T21:28:00,"4300 Block Coleridge St Pittsburgh, PA 15201",N,Stanton Heights,5,99,9093 Indirect Criminal Contempt,1005,9,2,-79.9419027672645,40.4775596018963
276889014,22048055,27,2022-03-31T19:58:00,"S 15th Ter & Roland St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9834385131345,40.4285634613338
-3532020878,22048271,27,2022-04-01T06:36:00,"Noblestown Rd & Crafton Blvd Pittsburgh, PA 15205",N,Westwood,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2811,2,5,-80.0538513213747,40.4379476429932
276931593,22048334,11,2022-04-01T09:15:00,"4100 Block Murray Ave Pittsburgh, PA 15217",N,Greenfield,4,CREDIT CARDS,4106 Access Device Fraud,1517,5,3,-79.9284158902851,40.4248966246086
276942407,22048351,0,2022-04-01T10:29:00,"2100 Block Broadway Ave Pittsburgh, PA 15216",N,Beechview,6,99,9997 Overdose Death,1920,4,5,-80.0302203079885,40.4051399403232
277139650,22049769,6,2022-04-03T18:00:00,"3400 Block Ward St Pittsburgh, PA 15213",N,Central Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,406,3,3,-79.9545983165413,40.4346231798695
277140854,22049772,14,2022-04-03T16:30:00,"2200 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2902,4,3,-79.9869130439349,40.3911850619477
277183192,22049989,99,2022-04-04T07:21:00,"1000 Block Goehring St Pittsburgh, PA 15212",N,Fineview,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2509,1,1,-79.9949099085783,40.4601302161527
277195452,22050053,99,2022-04-04T09:45:00,"1200 Block Bedford Ave Pittsburgh, PA 15219",N,Bluff,2,FOUND PROPERTY,9489 Found Property,103,,,,
275095163,22036912,10,2022-03-12T23:18:00,"400 Block Blvd Of The Allies Pittsburgh, PA 15219",Y,Middle Hill,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",501,,,,
275122423,22037203,0,2022-03-13T16:20:00,"400 Block Fisher St Pittsburgh, PA 15210",N,Mount Oliver,3,99,3503(b.1) Criminal Trespass - Simple Trespasser / 2709(b) Stalking,1607,,,,
275133958,22037341,0,2022-03-13T22:31:00,"500 Block Bigelow St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1501,5,3,-79.9396746123481,40.4187686786535
275137940,22037382,27,2022-03-14T01:44:00,"3100 Block Chartiers Ave Pittsburgh, PA 15204",Y,Sheraden,6,DUI - GENERAL IMPAIRMENT,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(a)(1) DUI - General Impairment,2022,2,5,-80.0611043000205,40.4538722967083
276979356,22048645,10,2022-04-01T19:15:00,"1600 Block Cumberland St Pittsburgh, PA 15205",Y,Crafton Heights,6,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 2902 Unlawful Restraint.,2815,2,5,-80.0587111676283,40.4398373341369
-3562016594,22048898,6,2022-04-02T03:16:00,"1500 Block Methyl St Pittsburgh, PA 15216",N,Beechview,6,THEFT FROM AUTO,3934 Theft from Vehicle,1916,4,5,-80.0259452722069,40.4128463926748
277058232,22049046,10,2022-04-02T13:00:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,HARRASSMENT,2709 Harassment (Non-Specific),1303,9,2,-79.9018146354302,40.4566120579776
277078891,22048843,10,2022-04-02T02:59:00,"2100 Block Perrysville Ave Pittsburgh, PA 15214",Y,Perry South,1,SIMPLE ASSAULT,2701 Simple Assault.,2614,6,1,-80.0122625030587,40.4636814416119
277087113,22049447,99,2022-04-03T01:13:00,"Bausman St & Ibis Way Pittsburgh, PA 15210",Y,Knoxville,3,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,3001,3,5,-79.9885569441081,40.414427423525
277090814,22049456,0,2022-04-03T01:16:00,"300 Block North Shore Dr Pittsburgh, PA 15212",N,North Shore,1,99,9999 9999 - (Misc. Incident): ,2205,1,1,-80.0096363483307,40.4549103553127
277097833,22049469,10,2022-04-03T03:26:00,"300 Block Wood St Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault. / 2903 False Imprisonment. / 9129 Miscellaneous Investigation / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,201,,,-80.0581533364063,40.5044573772531
275629516,22040193,10,2022-03-18T15:10:00,"3500 Block Fleming Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2703,1,1,-80.038477869206,40.4785954963995
275630627,22040376,4,2022-03-18T21:30:00,"3000 Block Arlington Ave Pittsburgh, PA 15210",N,Arlington Heights,3,AGG-ASSAULT,2702 Aggravated Assault. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1604,,,,
275655877,22040098,27,2022-03-18T12:46:00,"300 Block W Sycamore St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1903,2,5,-80.0103691246976,40.4324035134487
275666706,22040664,6,2022-03-19T10:00:00,"1200 Block Inverness Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1401,8,3,-79.9326348164721,40.4443151937048
275671694,22040684,13,2022-03-19T10:38:00,"800 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 3928 Unauthorized Use of Automobile and Other Vehicles.,2609,1,1,-79.9994763962932,40.4757519574098
275672279,22040686,0,2022-03-19T11:10:00,"1300 Block Beechview Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): ,1916,4,5,-80.0253025123728,40.4162005684387
275733062,22041287,6,2022-03-20T10:00:00,"2100 Block Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1609,3,3,-79.9760022588242,40.4292402150964
275700933,22040946,0,2022-03-19T19:12:00,"South Commons & Federal St S Pittsburgh, PA 15212",N,Allegheny Center,1,99,9998 Overdose Other,2204,1,1,-80.0053901438711,40.4502290939698
277117935,22049547,5,2022-04-03T09:38:00,"400 Block Foreland St Pittsburgh, PA 15212",Y,East Allegheny,1,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 13(a)(32) Paraphernalia - Use or Possession / 4914 False Identification to Law Enforcement Authorities,2304,1,1,-80.0019046072218,40.4540870940714
277144787,22049839,0,2022-04-03T21:58:00,"1400 Block Liverpool Ter Pittsburgh, PA 15233",N,Manchester,1,99,8106 Shots Fired,2107,6,1,-80.0266784287405,40.454981803688
277160065,22049921,27,2022-04-04T01:56:00,"70 Block S 18th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,,,-79.8997738790365,40.4023014919955
275118815,22036858,0,2022-03-12T21:21:00,"S 19th St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,99,3323 Stop Signs and Yield Signs.,1702,3,3,-79.9791385433732,40.4286780792365
275569000,22039935,5,2022-03-18T01:25:00,"1400 Block Crucible St Pittsburgh, PA 15220",Y,Crafton Heights,6,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition.,2814,2,5,-80.0497110358468,40.4485793521547
275589289,22040035,24,2022-03-18T10:05:00,"2500 Block Jonquil Way Pittsburgh, PA 15210",Y,Arlington,3,DISORDERLY CONDUCT,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1603,3,3,-79.9739989475988,40.4151485070644
275597895,22040104,6,2022-03-18T00:01:00,"1900 Block Ley St Pittsburgh, PA 15212",N,Troy Hill,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2406,1,1,-79.9817649951774,40.4660159126739
275599200,22040102,6,2022-03-18T11:00:00,"N Highland Ave & Bryant St Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3934 Theft from Vehicle,1102,7,2,-79.9187894197609,40.4745100522827
275603691,22040133,11,2022-03-18T12:32:00,"1600 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill North,4,COPYING/RECORDING DEVICES,4116 Copying; Recording Devices. / 3503(b.1) Criminal Trespass - Simple Trespasser,1403,5,3,-79.9170496423178,40.4404482907731
275604432,22040134,11,2022-03-17T00:01:00,"1200 Block Pocono St Pittsburgh, PA 15218",N,Swisshelm Park,4,IDENTITY THEFT,4120 Identity Theft,1411,5,3,-79.9041013749354,40.4193696526179
